time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,-0.31935720857503774,0.02807481519975743,11.68179300374458,0.03353812769630071,0.1376499538282987,0.0,-0.9389313738029388,0.1096490669813771,2.8458493679142696,0.0512406228772394,0.04558375429652384,0.0,475.28607040761574,474.30901877239353,475.1026289309322,473.9533857243841
1.2600000000000007,-0.37877565067382873,0.03543611510838977,11.856848544424345,0.045217171824009306,0.14354407455214346,0.0,-1.042300420853477,0.13694105152983785,2.9887763188704763,0.08219602985017542,0.02487632731275061,0.0,462.2042248614626,460.57006820408196,459.00952523894733,461.46223796936266
1.3200000000000007,-0.4446406877937351,0.04473918912384788,12.041336710340323,0.05848102555456691,0.14555398717877033,0.0,-1.1533818742547897,0.17459368068113545,3.1602013265134135,0.11263864856302822,0.01570629610770006,0.0,469.5241252669759,468.8121373061236,470.8130814537805,473.169278174392
1.3800000000000008,-0.5170343599081846,0.056538968579093934,12.234793073922338,0.0742714117458183,0.1484499460585056,0.0,-1.2600246066853904,0.22041420822190463,3.287759619558676,0.07849427567927764,-0.0008517514717237334,0.0,458.7303318644105,457.4134644544906,460.46994475877193,457.7694500717043
1.4400000000000008,-0.5953546635049934,0.07111860293413694,12.43236196343488,0.07959387570554455,0.14850268395010513,0.0,-1.3506765404831125,0.2660480664262746,3.2977483431421115,0.06863482797625244,-0.005780105680790368,0.0,422.42184001077476,421.99666611052004,422.2020054302473,421.3552365560546
1.5000000000000009,-0.6796512578407953,0.0887976568463253,12.633879297955806,0.08370243516385756,0.15573132523835742,0.0,-1.4598959651846937,0.3236419115054798,3.4189005568860793,0.06688911406193246,0.023194317191658577,0.0,456.806698104027,459.1114193118281,458.33774887365627,458.2023132384461
1.560000000000001,-0.7710469533414641,0.11027831015127347,12.845188032260586,0.09725757274938918,0.15797999153437203,0.0,-1.5868207888924617,0.3939456778420389,3.623796463476406,0.031829450458351616,0.011782450625356444,0.0,485.16682527415406,484.3091585698545,485.73307997861366,483.0984613731505
1.620000000000001,-0.8691018523896178,0.1356213158820673,13.062377115982285,0.09928035315284944,0.16233643545987952,0.0,-1.682092813231555,0.4509858872933785,3.6156951255999688,0.026756072005585333,-0.010378895558212716,0.0,420.8027750193052,418.879787533049,419.4362981546189,418.9957764103817
1.680000000000001,-0.9738060879101406,0.1649430361263869,13.284309469512621,0.10097053632660913,0.16301785067309638,0.0,-1.8080465041182592,0.5265224370925226,3.7813676196809274,0.028964552938911436,0.0009884662129487926,0.0,474.40560951302854,475.2777859070661,475.18704158388834,475.3564495767862
1.740000000000001,-1.086021026605776,0.19879691935221724,13.515758224239091,0.10398840401264309,0.16306603372131256,0.0,-1.93240045162335,0.6021908746754406,3.932923059405077,0.04021589187432241,-0.0005352342466741918,0.0,472.2649378393821,472.1473784394608,471.80636877087215,472.67465850592123
1.8000000000000012,-1.2050480425337355,0.2368338323092359,13.752257966873392,0.10666796931565248,0.16510422993540974,0.0,-2.0353843620707113,0.66592773659927,3.950175662861474,0.03323349049858551,-0.01754270881555086,0.0,431.756990055919,430.31963390842037,431.92769356525895,431.33910814410206
1.8600000000000012,-1.330721200515485,0.2790066787531955,13.992267804102848,0.10866965171294218,0.16839845722442082,0.0,-2.1540017717836273,0.7399764828271456,4.049587676076644,0.030496740279556164,0.00412768465741324,0.0,457.82610208405055,459.54730483925084,457.75116938867967,457.53367075877077
1.9200000000000013,-1.463240387577073,0.32544781945868534,14.236135767237393,0.11474773765166013,0.17438058882141583,0.0,-2.2638331552898983,0.8085964273229767,4.078933061886843,0.006686169136666309,0.029187457941370044,0.0,435.7915651336797,437.881399391693,438.41424642845027,436.4312727275065
1.9800000000000013,-1.6025384286415056,0.3761459427954822,14.482178720009385,0.11519577531701941,0.17695312709071853,0.0,-2.379674573199198,0.8813330111658051,4.122154922139412,0.008144019725855177,0.037987066654796384,0.0,442.8839673484108,443.60760231244626,441.60803429854974,441.72817330281765
2.0400000000000014,-1.7478691636520787,0.43060611898195655,14.725373815911036,0.12441166052676067,0.17958263203721003,0.0,-2.4649994026550996,0.9346389782143896,3.9846395813513142,0.03932773828344781,0.030193388297274946,0.0,381.42533949037954,380.68096395827786,378.4309779200061,381.42140018160813
2.1000000000000014,-1.8989537083276542,0.48877302027260744,14.963499455910272,0.12683802972327562,0.18161761270875854,0.0,-2.5713932536902466,1.004438630721022,3.9528083209083977,0.04120081304483729,0.023678601644688605,0.0,417.53322771387565,416.96466702527675,418.08444171358633,418.24855119166557
2.1600000000000015,-2.0570220034103412,0.551545192326125,15.202670279140893,0.12931060074564282,0.18417834242105524,0.0,-2.697787394076541,1.0881376154256899,4.019067195408897,0.03877455788361802,0.034236115333231565,0.0,450.22913521770647,451.0827638949576,450.0189378346421,449.823303676372
2.2200000000000015,-2.222099968719906,0.6189353431974418,15.442364537738326,0.131742067605936,0.18926979265437183,0.0,-2.8052813925981868,1.1583761224401672,3.9706563140377455,0.03382740910042144,0.05216479125516953,0.0,412.7959168298198,414.3761936172181,413.25081264786445,412.81520770035667
2.2800000000000016,-2.3946783906877784,0.6912633660956271,15.684064671778337,0.14317915260408576,0.19262007343411813,0.0,-2.9476440635387435,1.2536079873080006,4.085126950017426,0.06624759866182317,0.04568361564930598,0.0,467.48727476901314,466.98337722066435,465.09039820039004,467.62408180802436
